RCP_PARTS_DTLS,RCP_NM,RCP_WAY2,LOW_NA,HIGH_PRO,VEGAN,DIETS,new_train
  주재료   고구마  개  황 홍 파프리카 각각  개   부재료   양파      플레인요구르트      다진 아몬드      유자청      마요네즈      머스터드      설탕      레몬    개  브로콜리     ,고구마&파프리카샐러드,기타,0,0,1,0,"['고구마', '황', '홍', '파프리카', '양파', '플레인요구르트', '아몬드', '유자청', '마요네즈', '머스터드', '설탕', '레몬', '브로콜리']"
  주재료   고구마  개  북어  마리    부재료   간장       물       올리고당       꿀      참기름      매실 발효액       생강즙      마늘      청 홍고추 각각  개  호두    ,고구마말랭이 북어조림,찌기,0,0,1,0,"['고구마', '북어', '간장', '올리고당', '꿀', '참기름', '매실', '발효액', '생강즙', '마늘', '청', '홍고추', '호두']"
  주재료   소고기 채끝등심         부재료   깻잎      양파       황 홍 파프리카 각각    개  찹쌀가루      식용유      소금 후추 약간   소 스   연겨자      식초     소금     설탕   ,육전 야채쌈,굽기,0,1,0,0,"['소고기', '채끝등심', '깻잎', '양파', '황', '홍', '파프리카', '찹쌀가루', '식용유', '후추', '소', '스', '연겨자', '식초', '설탕']"
  주재료   소고기 홍두깨살         부재료   대파  대  마늘  쪽  생강  톨  통후추 약간  메추리알  컵   꽈리고추      마른고추  개  간장       설탕       다시마    ,육장(장조림),끓이기,0,1,0,1,"['소고기', '홍두깨살', '대파', '대', '마늘', '생강', '톨', '통후추', '메추리알', '꽈리고추', '마른고추', '간장', '설탕', '다시마']"
  주재료   소고기 양지머리        사골        부재료   무       대파  대  마늘  알  다시마      국간장   양념장   국간장      다진 마늘     다진 파      참기름      후춧가루 약간,무사골 곰탕,끓이기,0,1,0,0,"['소고기', '양지머리', '사골', '무', '대파', '대', '마늘', '다시마', '국간장', '국간장', '마늘', '파', '참기름', '후춧가루']"
  주재료  소갈비       부재료  물      대파  대  통마늘  알  청 홍고추 각각  개  잣가루  약간   양념장  조림맛장 물       간장       배즙       마늘      생강      설탕       다진 파       통후추      정종     ,소갈비찜 구이,찌기,0,0,0,0,"['소갈비', '대파', '대', '통마늘', '청', '홍고추', '잣가루', '조림맛장', '간장', '배즙', '마늘', '생강', '설탕', '파', '통후추', '정종']"
  인분 기준   주재료   검은콩    컵   얼갈이  포기   대파       돼지고기 앞다릿살        부재료   국물용 멸치   마리   다시마         국간장      큰술   다진 마늘     큰술   새우젓    큰술 ,검은콩탕,끓이기,0,1,0,0,"['검은콩', '얼갈이', '포기', '대파', '돼지고기', '앞다릿살', '국물용', '멸치', '다시마', '국간장', '마늘', '새우젓']"
  인분 기준   주재료   검은콩    컵   양파    개   당근    개   연근       부재료   카레가루    컵   꿀  큰술   식용유    ,콩카레,끓이기,0,0,1,1,"['검은콩', '양파', '당근', '연근', '카레가루', '꿀', '식용유']"
  인분 기준   주재료   검은콩    컵   표고버섯  개   당근    개   부추  대   부재료   소금 약간   달걀  개   밀가루    컵   찹쌀가루  큰술   식용유 약간 ,검은콩전,굽기,0,1,1,1,"['검은콩', '표고버섯', '당근', '부추', '대', '달걀', '밀가루', '찹쌀가루', '식용유']"
  인분 기준   주재료   쇠고기 아롱사태        배    개   밤  개   대추  개   부재료   대파        마늘  쪽   생강  쪽      청주  큰술   설탕    큰술    연겨자    큰술   식초  큰술   간장    큰술   마요네즈  큰술 ,배냉채,기타,0,1,0,0,"['쇠고기', '아롱사태', '배', '밤', '대추', '대파', '마늘', '생강', '청주', '설탕', '연겨자', '식초', '간장', '마요네즈']"
